Variable,Description,Position
Q_71_O12,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",148
Q_71_O13,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",149
Q_71_O14,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",150
Q_71_O15,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",151
S_71_13,"Label: 30. O(a) Sr(a) se lembra de algum programa, ação, obra, realização do Governo do Estado do MS, na administração de Reinaldo Azambuja?  (OUTRO (DESCREVA):) [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",152
T_72_1,"Label: O que mais gostou? Mais algum?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",153
T_72_2,"Label: O que não gostou? Mais algum?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Caravana da Saúde (carretas)
2,Entrega de Kits Escolares para os alunos
3,Compra de mais viaturas e munições para policiamento
4,Aumento de salário dos funcionários públicos
5,Programa Vale UNI
6,Entrega de casas / programa de habitação
7,Reforma/privatização de estradas
8,Continuidade da obra do aquário
9,Programa Obras inacabadas zero
10,Redução do salário do Governador
11,Concursos públicos
12,Renegociação da dívida do Estado
13,OUTRO (DESCREVA):
14,Não se lembra
15,NS/NR",154
Q_73,"Label: 31.1.1. Qual OUTRO programa/ação que mais gostou?
Format: A50
Measure: Nominal
Display Width: 50",155
Q_74,"Label: 31.2.1. Qual OUTRO programa/ação que não gostou?
Format: A50
Measure: Nominal
Display Width: 50",156
Q_75,"Label: 32. Na sua opinião, o Governo do Reinaldo Azambuja está no rumo certo ou errado? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Totalmente certo
2,Mais certo do que errado
3,Mais errado do que certo
4,Totalmente errado
99,NS/NR",157
Q_76,"Label: Vou te dar algumas informações e gostaria que o (a) Sr(a) avaliasse o quadro de candidatos a Prefeito de Campo Grande, depois dessas informações.  33. O Governador Reinaldo Azambuja (PSDB) apoia a Rose Modesto (que é a vice-governadora e foi secretária de 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",158
Q_77,"Label: 34. O ex-prefeito Nelsinho Trad deve apoiar o seu irmão Marquinhos Trad. Ou seja, o Marquinhos é o candidato do Nelsinho. Sabendo disso, e se os candidatos a Prefeito fossem esses (mostrar DISCO 01), em quem o(a) Sr(a) votaria? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",159
Q_78,"Label: 35. O PMDB (do ex-governador André Pucinnelli) poderá vir apoiar a Rose Modesto. Sabendo disso, e se os candidatos a Prefeito fossem esses (mostrar DISCO 01), em que o(a) Sr(a) votaria? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",160
Q_79,"Label: 36. A outra opção, é o PMDB (do ex-governador André Puccinelli) vir apoiar o Marquinhos Trad. Sabendo disso, e se os candidatos a Prefeito fossem esses (MOSTRAR DISCO 01), em quem o(a) Sr(a) votaria? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",161
Q_80,"Label: 37. O(a) Sr(a) ouviu falar do envolvimento de algum desses candidatos (MOSTRAR DISCO 01) com corrupção? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Sim. Qual?
2,Não
3,NS/NR",162
Q_80_S,"Label: 37. O(a) Sr(a) ouviu falar do envolvimento de algum desses candidatos (MOSTRAR DISCO 01) com corrupção?  [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 50",163
T_81_1,"Label: Tomou conhecimento da Operação Coffee-break? Aquela que investiga a compra de votos de vereadores para cassar o prefeito Bernal?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,""Sim, tomou conhecimento""
2,Não tomou conhecimento
3,NS/NR",164
T_81_2,"Label: Tomou conhecimento da Operação Lama Asfáltica? Aquele que investiga a corrupção nas obras do Estado?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,""Sim, tomou conhecimento""
2,Não tomou conhecimento
3,NS/NR",165
T_82_1,"Label: Com a operação Coffee-break?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Não ouviu falar
11,NS/NR",166
T_82_2,"Label: Com a operação Lama Asfáltica?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Não ouviu falar
11,NS/NR",167
T_83_1,"Label: Banheiros
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",168
T_83_2,"Label: Empregados domésticos
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",169
T_83_3,"Label: Automóveis
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",170
T_83_4,"Label: Microcomputador
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",171
T_83_5,"Label: Lava louça
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",172
T_83_6,"Label: Geladeira
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",173
T_83_7,"Label: Freezer
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",174
T_83_8,"Label: Lava roupa
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",175
T_83_9,"Label: DVD
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",176
T_83_10,"Label: Microondas
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",177
T_83_11,"Label: Motocicleta
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",178
T_83_12,"Label: Secadora roupa
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,0
2,1
3,2
4,3
5,4 ou mais",179
Q_84,"Label: 41.1.  Grau de instrução do chefe de família
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Analfabeto/Fundamental I incompleto
2,Fundamento I Completo / Fundamento II Incompleto
3,Fundamental II completo / Médio incompleto
4,Médio completo / Superior incompleto
5,Superior completo",180
T_85_1,"Label: Água utlizada neste domicílio é encanada?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Sim
2,Não",181
T_85_2,"Label: Considerando o trecho da rua do seu domícilio, sua rua é pavimentada/asfaltada?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Sim
2,Não",182
Q_86,"Label: 42. Qual a sua renda familiar, somando todos os seus reindmentos e de todas as pessoas que vivem em sua residência? (APRESENTAR CARTÃO DE RENDA)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Até 01 Salário Mínimo
2,Mais de 01 a 02 Salários Mínimos
3,Mais de 02 a 03 Salários Mínimos
4,Mais de 03 a 05 Salários Mínimos
5,Mais de 05 a 10 Salários Mínimos
6,Mais de 10 a 20 Salários Mínimos
8,NS/NR
99,Mais de 20 Salários Mínimos",183
Q_86_1,"Label: 43. Qual é a sua religião?
Format: F6.0
Measure: Nominal
Display Width: 6
Missing Values: -1

Value,Label
1,Católica
2,Protestante
3,Evangélica
4,Espírita Kardecista
5,Candomblé / Afro
6,Outra
7,Não tem religião
8,NR",184
Q_92,"Label: TERMINAMOS A PESQUISA, AGRADECEMOS SUA PARTICIPAÇÃO.
Print Format: F7.0
Write Format: F7.2
Measure: Nominal
Display Width: 8
Missing Values: -1",185

Variable,Description,Position
SbjNum,"Label: SbjNum
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8",1
Q_1,"Label: Bom dia /Boa tarde /Boa noite. Meu nome é (NOME DO ENTREVISTADOR). Eu sou entrevistador(a) da IDEALIS PESQUISA e nós estamos realizando um estudo de opinião pública na cidade de Campo Grande/MS. O(a) Sr(a) pode responder algumas perguntas?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Sim
2,Não",2
Q_2,"Label: Filtro 1. O(a) Sr(a) ou alguém de sua família trabalha em (LEIA OPÇÕES): ?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Agência de Publicidade
2,Área de Marketing
3,Televisão/Rádio/Jornal/Revista
4,Pesquisa de Mercado e Opinião
5,Trabalha em ou para algum Partido político?
6,Afiliado a algum Partido político?
7,Nenhum deles",3
Q_3,"Label: Filtro 2. O(a) Sr(a) tem título de eleitor aqui do município de Campo Grande? Ou seja, o Sr. vota aqui na cidade?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Sim
2,Não",4
Q_4,"Label: Filtro 3. O(a) Sr(a) pretende votar na próxima eleição?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Sim
2,Não",5
Q_5,"Label: Filtro 4. O(a) Sr(a) mora aqui nesta casa, de Campo Grande?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Sim
2,Não",6
região,"Label: Região
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Centro
2,Segredo
3,Prosa
4,Bandeira
5,Anhanduzinho
6,Lagoa
7,Imbirissu
8,Região RURAL - Rochedinho",7
Q_7,"Label: Centro
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Cruzeiro
2,São Francisco
3,Glória
4,Amambaí
5,Monte Líbano
6,Glória
7,Cabreúva",8
Q_8,"Label: Segredo
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Nova Lima
2,Nasser
3,Coronel Antonino
4,José Abrão",9
Q_9,"Label: Prosa
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Novos Estados
2,Carandá
3,Veraneio
4,Margarida
5,Autonomista
6,Estrela Dalva",10
Q_10,"Label: Bandeira
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Tiradentes
2,Universitário
3,Maria Aparecida Pedrossian
4,São Lourenço
5,Jardim Paulista",11
Q_11,"Label: Anhanduizinho 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Aero Rancho
2,Centenário
3,Pioneiro
4,Piratininga
5,Taquarussu",12
Q_12,"Label: Lagoa
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,São Conrado
2,Tijuca
3,Coophavilla II
4,Caiçara",13
Q_13,"Label: Imbirussu
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Santo Amaro
2,Popular
3,Panamá
4,Santo Antônio",14
sexo,"Label: A-Sexo
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Masculino
2,Feminino",15
Q_15,"Label: B-Qual é a sua idade?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,""De  16 a 17 anos (só se for votar, possui título de eleitor)""
2,De 18 a 24 anos
3,De 25 a 34 anos
4,De 35 a 44 anos
5,De 45 a 59 anos
6,60 anos ou mais (mais de 70 anos só se for votar)",16
Instr,"Label: C-Qual é o seu grau de instrução/escolaridade?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Baixo
2,Médio
3,Superior",17
Q_17,"Label: D-Qual destas alternativas descreve melhor a sua ocupação atual?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Trabalha em casa para uma Empresa
2,Trabalha fora meio período para uma Empresa
3,Trabalha fora período integral para uma Empresa
4,Profissional liberal/negócio próprio
5,Autonômo
6,Funcionário público
7,Tem outras fontes: rendimentos/aplicações
8,Tem outras fontes: aposentadoria
9,Tem outras fontes: recebo doações
10,Tem outras fontes: mesada/pensão
12,""Não está trabalhando, 06 meses ou mais""
13,Outro (especifique):
99,""Não está trabalhando atualmente, menos de 06 meses""",18
Q_17_S,"Label: D-Qual destas alternativas descreve melhor a sua ocupação atual? [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 13",19
estado_civil,"Label: E - Qual é o seu estado civil?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Casado / Vive junto
2,Separado / Divorciado
3,Viúvo
4,Solteiro
5,NR",20
Q_19,"Label: F - De uma maneira geral, o(a) Sr(a) é uma pessoa que tem... (LEIA OPÇÕES)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Muito interesse por política em geral
2,Algum interesse por política
3,Pouco interesse por política
4,Nenhum interesse por política em geral",21
Q_20,"Label: 1.De maneira geral, como o(a) Sr(a) avalia a situação de Campo Grande? Atualmente a cidade de Campo Grande está... ótima, boa, regular, ruim ou péssima? Se regular, positiva ou negativa?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Ótima
2,Boa
3,Regular positiva
4,Regular negativa
5,Ruim
6,Péssima
99,NS/NR",22
Q_21,"Label: VAMOS FALAR DE ELEIÇÕES PARA PREFEITO DE CAMPO GRANDE....  2. Se as eleições para Prefeito de Campo Grande fossem realizadas hoje, em quem o(a) Sr(a) votaria? 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Anote nome citado:
2,NS/Indeciso
3,NR
4,Nenhum",23
Q_21_S,"Label: VAMOS FALAR DE ELEIÇÕES PARA PREFEITO DE CAMPO GRANDE....  2. Se as eleições para Prefeito de Campo Grande fossem realizadas hoje, em quem o(a) Sr(a) votaria?  [Other (specify)]
Format: A50
Measure: Nominal
Display Width: 22",24
Q_22,"Label: 3. Agora, vou te mostrar uma série de situações que podem acontecer nas eleições para Prefeito que vão ocorrer esse ano, em termos de candidatos. Gostaria que o(a) Sr(a) avaliasse cada situação.  3. 1. Se os candidatos fossem esses, em quem votaria? APRESE
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 18
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",25
Q_23,"Label: 3.1. Por que votaria no (REPETIR RESPOSTA DA PERGUNTA 3.1.) para prefeito de Campo Grande? 
Format: A50
Measure: Nominal
Display Width: 11",26
Q_24,"Label: 3.1.1. E se o (REPETIR RESPOSTA DA PERGUNTA 3.1.)  não for candidato, em quem votaria? (DISCO 01) 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 14
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Nenhum",27
Q_25,"Label: 3.3. E se fossem estes? (APRESENTE DISCO 02)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Professor Sidney - PSOL
6,Suel Ferrante - PSTU
7,Marcelo Bluma - PV
8,Alex do PT - PT
9,Indeciso/NS
10,NR
11,Nenhum",28
Q_26,"Label: 3.3. E se fossem estes? (APRESENTE DISCO 03)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Indeciso/NS
5,NR
6,Nenhum",29
Q_27,"Label: 3.4. E se fossem estes? (APRESENTE O DISCO 04)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Indeciso/NS
4,NR
5,Nenhum",30
Q_28,"Label: 3.5. E se fossem esses? (APRESENTE O DISCO 05)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Alcides Bernal - PP
3,Indeciso/NS
4,NR
5,Nenhum",31
Q_29,"Label: 3.6. E se fossem esses? (APRESENTE DISCO 06)
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Marquinhos Trad - PSD
2,Alcides Bernal - PP
3,Indeciso/NS
4,NR
5,Nenhum",32
Q_30,"Label: 4. O(a) Sr(a)  ainda pode mudar sua escolha?
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,""Sim, poderia ainda mudar""
2,""Não, já está totalmente certo de sua escolha""
3,NS
4,NR",33
Q_31,"Label: 5. Agora, gostaria que o(a) Sr(a) avaliasse e me dissesse em quem o(a) Sr(a) NÃO VOTARIA DE JEITO NENHUM para Prefeito de Campo Grande. 
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Rose Modesto - PSDB
2,Marquinhos Trad - PSD
3,Alcides Bernal - PP
4,Athayde Nery - PPS
5,Coronel David - PSC
6,Professor Sidney - PSOL
7,Suel Ferrante - PSTU
8,Marcelo Bluma - PV
9,Dagoberto Nogueira - PDT
10,Alex do PT - PT
11,Indeciso/NS
12,NR
13,Todos",34
Q_32,"Label: 5.1.  Por que o(a) Sr(a) NÃO VOTARIA no (REPETIR RESPOSTA DA P.5)?
Format: A50
Measure: Nominal
Display Width: 50",35
T_33_1,"Label: Rose Modesto - PSDB
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",36
T_33_2,"Label: Marquinhos Trad - PSD
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",37
T_33_3,"Label: Alcides Bernal - PP
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",38
T_33_4,"Label: Athayde Nery - PPS
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",39
T_33_5,"Label: Coronel David - PSC
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",40
T_33_6,"Label: Professor Sidney - PSOL
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",41
T_33_7,"Label: Suel Ferrante - PSTU
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",42
T_33_8,"Label: Marcelo Bluma - PV
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",43
T_33_9,"Label: Dagoberto Nogueira - PDT
Print Format: F8.0
Write Format: F8.2
Measure: Nominal
Display Width: 8
Missing Values: -1

Value,Label
1,Conhece bem/tem muitas informações sobre ele(a)
2,""Conhece pouco, tem algumas informações sobre ele(a)""
3,Conhece só de nome/só de ouvir falar
4,Não conhece/é a primeira vez que ouve falar o nome
5,NS/NR",44
